input_DAT,DAT,temp_mean,temp_std,temp_min,temp_max,humidity_mean,humidity_std,humidity_min,humidity_max,co2_mean,co2_std,co2_min,co2_max,ec_mean,ec_std,ec_min,ec_max,water_spray_sum,water_spray_mean,water_spray_max,total_light_sum,total_light_mean,total_light_max,white_light_sum,red_light_sum,blue_light_sum,case_id,cum_water_spray,cum_total_light,cum_red_light,cum_white_light,cum_co2,ec_x_spray,temp_x_humidity,light_x_co2,temp_x_light,temp_mean_ema,humidity_mean_ema,co2_mean_ema,ec_mean_ema,total_light_mean_ema,temp_mean_kf,humidity_mean_kf,co2_mean_kf,ec_mean_kf,total_light_mean_kf,predicted_weight_g
0,1,27.03070924166667,1.2679992646783897,25.27333349,28.92499971,78.06128958541667,2.846594323134933,75.41500079,81.90000076,535.0942956333333,25.982390711011657,492.8333333,575.0833333,1.3936159936250003,0.010953575366425312,1.37734583,1.411070349,3961.27,165.05291666666668,252.00000000000009,269376.2938,11224.012241666665,19231.522000000023,255677.85939999996,13698.434400000002,0.0,CASE_01,3961.27,269376.2938,13698.434400000002,255677.85939999996,535.0942956333333,5520.489227066905,2110.052021812941,144141718.19122884,7281432.2743055755,27.03070924166667,78.06128958541667,535.0942956333333,1.3936159936250003,11224.012241666665,27.03070924166667,78.06128958541667,535.0942956333333,1.3936159936250003,11224.012241666665,0.167719388078703
1,2,27.54275129583333,1.42856433234602,25.40666631,29.40333296,78.07504074124999,2.8233275179574626,75.27999992,82.0016669,523.9865900416667,25.299806310983197,489.5333333,565.1666667,1.384430622,0.007898908414773798,1.37335753,1.39759527,3980.5600000000004,165.85666666666668,252.0,270032.88950000005,11251.370395833335,19231.522000000023,256324.52629999997,13708.3632,0.0,CASE_01,7941.83,539409.1833,27406.7976,512002.3856999999,1059.080885675,5510.80915670832,2150.4014295483034,141493612.9682032,7437448.717193745,27.37207061111111,78.07045702263889,527.6891585722223,1.3874924125416668,11242.251011111111,27.496244297271417,78.0737917716012,524.9954643006736,1.3852648973519528,11248.885549859977,0.181787272321195
2,3,26.678481675416666,0.8397825453625325,25.49166663,28.22833347,77.59004829541668,3.022527379038507,74.42000046,81.77833366,539.2361699625,15.607918894441344,516.4166667,569.2333333,1.392745180333333,0.0038793296612189957,1.385904872,1.398110358,4093.7,170.57083333333333,252.0,269399.5381,11224.980754166667,19231.522000000023,255724.2709,13675.2672,0.0,CASE_01,12035.529999999999,808808.7214,41082.0648,767726.6565999999,1598.3170556374998,5701.480944730565,2069.984681643968,145269975.1147106,7187170.640566564,26.975734076428573,77.79593774994048,534.2874507952381,1.3904939941369048,11232.382292857144,27.104583135732558,77.84210652859075,531.815941504674,1.3888475217503167,11237.436530551224,0.265921009145362
3,4,26.157335137083333,0.7469082477606266,25.14500052,27.59500036,77.36609106791667,3.0162960465495345,74.21166725,81.42333399,760.1503295625001,196.8595344299526,531.45,1173.266667,1.4012975869166666,0.002700122281336411,1.396671673,1.407323291,3980.5600000000004,165.85666666666668,252.0,270032.88950000005,11251.370395833335,19231.522000000023,256324.52629999997,13708.3632,0.0,CASE_01,16016.09,1078841.6109000002,54790.428,1024051.1828999999,2358.4673852,5577.949122577007,2023.6907723096058,205265589.94613922,7063340.7886864925,26.53925464211111,77.56668618619445,654.7476528044446,1.3962559102861112,11242.509281111114,26.793523630959005,77.6857914625542,606.7969198475387,1.3929359031568394,11242.01216569684,0.423650022570148
4,5,26.52289072583333,0.9812165089856458,25.19833384,27.90999966,78.13165027208333,2.757699371015583,75.3433328,82.02666575,539.5357580041667,19.80356385667876,510.15,568.4666667,1.4037961671666668,0.005583842468672883,1.395274244,1.413748519,3935.55,163.98125000000002,252.0,269511.35670000006,11229.639862500002,19231.522000000023,255829.47029999993,13681.8864,0.0,CASE_01,19951.64,1348352.9676000003,68472.3144,1279880.6531999998,2898.003143204167,5524.710005692776,2072.2772223954926,145411014.12786588,7148220.2631251905,26.53080874983871,77.85828055310485,595.2834490365593,1.4001476557728496,11235.867000537635,26.725099690404246,77.79851765401592,589.791324251254,1.3956816966096803,11238.884084364407,0.475272432100058
5,6,26.678481675416666,0.8397825453625325,25.49166663,28.22833347,77.59004829541668,3.022527379038507,74.42000046,81.77833366,539.2361699625,15.607918894441344,516.4166667,569.2333333,1.392745180333333,0.0038793296612189957,1.385904872,1.398110358,3935.55,163.98125000000002,252.0,269511.35670000006,11229.639862500002,19231.522000000023,255829.47029999993,13681.8864,0.0,CASE_01,23887.19,1617864.3243000004,82154.2008,1535710.1234999998,3437.2393131666668,5481.218294460849,2069.984681643968,145330271.74830517,7190153.791037637,26.60581721997354,77.72203559681878,566.8149898243386,1.3963876682480156,11232.704009788362,26.71539720570218,77.75512947536444,579.269413113941,1.3950705272096915,11236.960108810197,1.94187905498786
6,7,26.62704562666666,1.0762092906211704,25.31666673,27.88999958,77.89688382833334,3.490721589737624,74.20166461,85.36666616,542.86861845,14.614721902232851,519.5,569.9166667,1.4033156490833332,0.01210319278736017,1.389969152,1.446172039,4074.41,169.76708333333332,252.0000000000001,269129.48939999996,11213.728724999999,19231.522000000023,255467.46059999996,13662.0288,0.0,CASE_01,27961.6,1886993.8137000003,95816.2296,1791177.5840999996,3980.107931616667,5717.683313781623,2074.163879872184,146101954.0947319,7166123.193735301,26.616514999724405,77.81014809144031,554.7475270845144,1.3998789341807742,11223.141661548558,26.699576284336622,77.7805131130541,572.751203520987,1.3965469629025937,11232.800116419723,2.33090087317029
7,8,26.52289072583333,0.9812165089856458,25.19833384,27.90999966,78.13165027208333,2.757699371015583,75.3433328,82.02666575,539.5357580041667,19.80356385667876,510.15,568.4666667,1.4037961671666668,0.005583842468672883,1.395274244,1.413748519,4048.6900000000005,168.6954166666667,252.0,269860.4127,11244.1838625,19557.47999999998,256163.6331,13696.7796,0.0,CASE_01,32010.29,2156854.2264,109513.0092,2047341.2171999996,4519.643689620833,5683.535504046013,2072.2772223954926,145599342.32141176,7157478.237270385,26.569519285771236,77.97152957819445,547.1118155461438,1.4018452315227126,11233.70402124183,26.671482388190807,77.83634569474481,567.4697799304495,1.397699622992416,11234.61018953967,3.50324857233179
8,9,25.698402768333334,0.6038682360436389,25.24333337,27.20833352,77.90388896208334,3.1071035897091255,74.5350001,82.06166687,572.9861111041666,18.328682920453574,543.5333333,608.3666667,1.418729675875,0.008861872511641304,1.40673272,1.432462802,4125.85,171.9104166666667,252.0,268983.0584,11207.627433333333,19231.522000000023,255312.75559999997,13670.302800000001,0.0,CASE_01,36136.14,2425837.2848,123183.312,2302653.9727999996,5092.629800725,5853.465833208869,2002.0055157671352,154123556.58552092,6912434.972621326,26.133108662553816,77.93764308558302,560.0742806397913,1.4103039746815884,11220.640212035225,26.53080261080832,77.84611053990132,568.2672853201938,1.4007399735428645,11230.70924653479,4.45823929008714
9,10,25.685139940833334,0.39879944826203245,25.27666651,26.59500036,78.05998248625001,3.079144703601734,74.94500033,82.78333308,544.9638300291667,29.97375563135661,506.1333333,627.25,1.4273365817916666,0.0033317527694024444,1.420001225,1.434180172,4074.41,169.76708333333332,252.0000000000001,269129.48939999996,11213.728724999999,19231.522000000023,255467.46059999996,13662.0288,0.0,CASE_01,40210.55,2694966.7742,136845.3408,2558121.4333999995,5637.593630754167,5815.554442217784,2004.9815739383307,146665837.317218,6912628.59744402,25.908905353149237,77.99887258034498,552.5116699724991,1.418828603069037,11217.181090469208,26.41758701890561,77.8747432794758,565.1474662979944,1.4043006731603391,11228.435928976107,5.31563026349437
